# tildes-es.tsv — mapa de restauración de tildes (generado, NO editar a mano)
# Generador: scripts/gen-tildes.ts  |  Regla: entra solo si la forma sin
# tilde NO es palabra española válida y la restauración es única.
# Fuente: RLA-ES via LibreOffice/dictionaries (MPL 1.1)
# es_ES.dic sha256=6975dddec3d5d2c676069537bc67b4b5f786c65c5d4cf6703a82acf779ac9ec1
# es_ES.aff sha256=e73a9bf8e1383f4986a5dc9e2fbed49371c0c61f511c626d15586bd433c1cad9
# pares=157895
abaca	abacá
abacas	abacás
abaceria	abacería
abacerias	abacerías
abaco	ábaco
abacos	ábacos
abadernabamos	abadernábamos
abadernais	abadernáis
abadernandose	abadernándose
abadernaramos	abadernáramos
abadernaria	abadernaría
abadernariais	abadernaríais
abadernariamos	abadernaríamos
abadernarian	abadernarían
abadernarias	abadernarías
abadernasemos	abadernásemos
abaderneis	abadernéis
abadi	abadí
abadia	abadía
abadias	abadías
abadies	abadíes
abadis	abadís
abajabamos	abajábamos
abajais	abajáis
abajandose	abajándose
abajaramos	abajáramos
abajaria	abajaría
abajariais	abajaríais
abajariamos	abajaríamos
abajarian	abajarían
abajarias	abajarías
abajasemos	abajásemos
abajeis	abajéis
abakua	abakuá
abakuas	abakuás
abalabamos	abalábamos
abalais	abaláis
abalanceis	abalancéis
abalancemonos	abalancémonos
abalancense	abaláncense
abalancese	abaláncese
abalandose	abalándose
abalanzabamos	abalanzábamos
abalanzais	abalanzáis
abalanzandome	abalanzándome
abalanzandonos	abalanzándonos
abalanzandoos	abalanzándoos
abalanzandose	abalanzándose
abalanzandote	abalanzándote
abalanzaramos	abalanzáramos
abalanzaria	abalanzaría
abalanzariais	abalanzaríais
abalanzariamos	abalanzaríamos
abalanzarian	abalanzarían
abalanzarias	abalanzarías
abalanzasemos	abalanzásemos
abalaramos	abaláramos
abalaria	abalaría
abalariais	abalaríais
abalariamos	abalaríamos
abalarian	abalarían
abalarias	abalarías
abalasemos	abalásemos
abaleabamos	abaleábamos
abaleais	abaleáis
abaleandose	abaleándose
abalearamos	abaleáramos
abalearia	abalearía
abaleariais	abalearíais
abaleariamos	abalearíamos
abalearian	abalearían
abalearias	abalearías
abaleasemos	abaleásemos
abaleeis	abaleéis
abaleis	abaléis
abaliceis	abalicéis
abalizabamos	abalizábamos
abalizais	abalizáis
abalizandose	abalizándose
abalizaramos	abalizáramos
abalizaria	abalizaría
abalizariais	abalizaríais
abalizariamos	abalizaríamos
abalizarian	abalizarían
abalizarias	abalizarías
abalizasemos	abalizásemos
aballabamos	aballábamos
aballais	aballáis
aballandose	aballándose
aballaramos	aballáramos
aballaria	aballaría
aballariais	aballaríais
aballariamos	aballaríamos
aballarian	aballarían
aballarias	aballarías
aballasemos	aballásemos
aballeis	aballéis
aballestabamos	aballestábamos
aballestais	aballestáis
aballestandose	aballestándose
aballestaramos	aballestáramos
aballestaria	aballestaría
aballestariais	aballestaríais
aballestariamos	aballestaríamos
aballestarian	aballestarían
aballestarias	aballestarías
aballestasemos	aballestásemos
aballesteis	aballestéis
abaluartabamos	abaluartábamos
abaluartais	abaluartáis
abaluartandose	abaluartándose
abaluartaramos	abaluartáramos
abaluartaria	abaluartaría
abaluartariais	abaluartaríais
abaluartariamos	abaluartaríamos
abaluartarian	abaluartarían
abaluartarias	abaluartarías
abaluartasemos	abaluartásemos
abaluarteis	abaluartéis
abanabamos	abanábamos
abanais	abanáis
abanandose	abanándose
abanaramos	abanáramos
abanaria	abanaría
abanariais	abanaríais
abanariamos	abanaríamos
abanarian	abanarían
abanarias	abanarías
abanasemos	abanásemos
abancalabamos	abancalábamos
abancalais	abancaláis
abancalandose	abancalándose
abancalaramos	abancaláramos
abancalaria	abancalaría
abancalariais	abancalaríais
abancalariamos	abancalaríamos
abancalarian	abancalarían
abancalarias	abancalarías
abancalasemos	abancalásemos
abancaleis	abancaléis
abanderabamos	abanderábamos
abanderais	abanderáis
abanderandose	abanderándose
abanderaramos	abanderáramos
abanderaria	abanderaría
abanderariais	abanderaríais
abanderariamos	abanderaríamos
abanderarian	abanderarían
abanderarias	abanderarías
abanderasemos	abanderásemos
abandereis	abanderéis
abandericeis	abandericéis
abanderizabamos	abanderizábamos
abanderizais	abanderizáis
abanderizandose	abanderizándose
abanderizaramos	abanderizáramos
abanderizaria	abanderizaría
abanderizariais	abanderizaríais
abanderizariamos	abanderizaríamos
abanderizarian	abanderizarían
abanderizarias	abanderizarías
abanderizasemos	abanderizásemos
abandonabamos	abandonábamos
abandonais	abandonáis
abandonala	abandónala
abandonalas	abandónalas
abandonalo	abandónalo
abandonalos	abandónalos
abandonandola	abandonándola
abandonandolas	abandonándolas
abandonandole	abandonándole
abandonandoles	abandonándoles
abandonandolo	abandonándolo
abandonandolos	abandonándolos
abandonandome	abandonándome
abandonandonos	abandonándonos
abandonandoos	abandonándoos
abandonandose	abandonándose
abandonandote	abandonándote
abandonaramos	abandonáramos
abandonaria	abandonaría
abandonariais	abandonaríais
abandonariamos	abandonaríamos
abandonarian	abandonarían
abandonarias	abandonarías
abandonasemos	abandonásemos
abandonate	abandónate
abandoneis	abandonéis
abaneabamos	abaneábamos
abaneais	abaneáis
abaneandose	abaneándose
abanearamos	abaneáramos
abanearia	abanearía
abaneariais	abanearíais
abaneariamos	abanearíamos
abanearian	abanearían
abanearias	abanearías
abaneasemos	abaneásemos
abaneeis	abaneéis
abaneis	abanéis
abanicabamos	abanicábamos
abanicais	abanicáis
abanicandola	abanicándola
abanicandolas	abanicándolas
abanicandole	abanicándole
abanicandoles	abanicándoles
abanicandolo	abanicándolo
abanicandolos	abanicándolos
abanicandome	abanicándome
abanicandonos	abanicándonos
abanicandoos	abanicándoos
abanicandose	abanicándose
abanicandote	abanicándote
abanicaramos	abanicáramos
abanicaria	abanicaría
abanicariais	abanicaríais
abanicariamos	abanicaríamos
abanicarian	abanicarían
abanicarias	abanicarías
abanicasemos	abanicásemos
abaniqueis	abaniquéis
abaniquemonos	abaniquémonos
abaniquense	abaníquense
abaniqueria	abaniquería
abaniquerias	abaniquerías
abaniquese	abaníquese
abañabamos	abañábamos
abañais	abañáis
abañandose	abañándose
abañaramos	abañáramos
abañaria	abañaría
abañariais	abañaríais
abañariamos	abañaríamos
abañarian	abañarían
abañarias	abañarías
abañasemos	abañásemos
abañeis	abañéis
abarañabamos	abarañábamos
abarañais	abarañáis
abarañandose	abarañándose
abarañaramos	abarañáramos
abarañaria	abarañaría
abarañariais	abarañaríais
abarañariamos	abarañaríamos
abarañarian	abarañarían
abarañarias	abarañarías
abarañasemos	abarañásemos
abarañeis	abarañéis
abaratabamos	abaratábamos
abaratais	abaratáis
abaratandose	abaratándose
abarataramos	abaratáramos
abarataria	abarataría
abaratariais	abarataríais
abaratariamos	abarataríamos
abaratarian	abaratarían
abaratarias	abaratarías
abaratasemos	abaratásemos
abarateis	abaratéis
abarbechabamos	abarbechábamos
abarbechais	abarbecháis
abarbechandose	abarbechándose
abarbecharamos	abarbecháramos
abarbecharia	abarbecharía
abarbechariais	abarbecharíais
abarbechariamos	abarbecharíamos
abarbecharian	abarbecharían
abarbecharias	abarbecharías
abarbechasemos	abarbechásemos
abarbecheis	abarbechéis
abarcabamos	abarcábamos
abarcais	abarcáis
abarcandola	abarcándola
abarcandolas	abarcándolas
abarcandolo	abarcándolo
abarcandolos	abarcándolos
abarcandome	abarcándome
abarcandonos	abarcándonos
abarcandoos	abarcándoos
abarcandose	abarcándose
abarcandote	abarcándote
abarcaramos	abarcáramos
abarcaria	abarcaría
abarcariais	abarcaríais
abarcariamos	abarcaríamos
abarcarian	abarcarían
abarcarias	abarcarías
abarcasemos	abarcásemos
abarcon	abarcón
abarcuceis	abarcucéis
abarcuzabamos	abarcuzábamos
abarcuzais	abarcuzáis
abarcuzandose	abarcuzándose
abarcuzaramos	abarcuzáramos
abarcuzaria	abarcuzaría
abarcuzariais	abarcuzaríais
abarcuzariamos	abarcuzaríamos
abarcuzarian	abarcuzarían
abarcuzarias	abarcuzarías
abarcuzasemos	abarcuzásemos
abarloabamos	abarloábamos
abarloais	abarloáis
abarloandose	abarloándose
abarloaramos	abarloáramos
abarloaria	abarloaría
abarloariais	abarloaríais
abarloariamos	abarloaríamos
abarloarian	abarloarían
abarloarias	abarloarías
abarloasemos	abarloásemos
abarloeis	abarloéis
abarqueis	abarquéis
abarquillabamos	abarquillábamos
abarquillais	abarquilláis
abarquillandose	abarquillándose
abarquillaramos	abarquilláramos
abarquillaria	abarquillaría
abarquillariais	abarquillaríais
abarquillariamos	abarquillaríamos
abarquillarian	abarquillarían
abarquillarias	abarquillarías
abarquillasemos	abarquillásemos
abarquilleis	abarquilléis
abarraganabamos	abarraganábamos
abarraganais	abarraganáis
abarraganandose	abarraganándose
abarraganaramos	abarraganáramos
abarraganaria	abarraganaría
abarraganariais	abarraganaríais
abarraganariamos	abarraganaríamos
abarraganarian	abarraganarían
abarraganarias	abarraganarías
abarraganasemos	abarraganásemos
abarraganeis	abarraganéis
abarrajabamos	abarrajábamos
abarrajais	abarrajáis
abarrajandose	abarrajándose
abarrajaramos	abarrajáramos
abarrajaria	abarrajaría
abarrajariais	abarrajaríais
abarrajariamos	abarrajaríamos
abarrajarian	abarrajarían
abarrajarias	abarrajarías
abarrajasemos	abarrajásemos
abarrajeis	abarrajéis
abarrancabamos	abarrancábamos
abarrancais	abarrancáis
abarrancandose	abarrancándose
abarrancaramos	abarrancáramos
abarrancaria	abarrancaría
abarrancariais	abarrancaríais
abarrancariamos	abarrancaríamos
abarrancarian	abarrancarían
abarrancarias	abarrancarías
abarrancasemos	abarrancásemos
abarranqueis	abarranquéis
abarrotabamos	abarrotábamos
abarrotais	abarrotáis
abarrotandose	abarrotándose
abarrotaramos	abarrotáramos
abarrotaria	abarrotaría
abarrotariais	abarrotaríais
abarrotariamos	abarrotaríamos
abarrotarian	abarrotarían
abarrotarias	abarrotarías
abarrotasemos	abarrotásemos
abarroteis	abarrotéis
abasi	abasí
abasies	abasíes
abasis	abasís
abastabamos	abastábamos
abastais	abastáis
abastandose	abastándose
abastaramos	abastáramos
abastardabamos	abastardábamos
abastardais	abastardáis
abastardandose	abastardándose
abastardaramos	abastardáramos
abastardaria	abastardaría
abastardariais	abastardaríais
abastardariamos	abastardaríamos
abastardarian	abastardarían
abastardarias	abastardarías
abastardasemos	abastardásemos
abastardeis	abastardéis
abastaria	abastaría
abastariais	abastaríais
abastariamos	abastaríamos
abastarian	abastarían
abastarias	abastarías
abastasemos	abastásemos
abasteceis	abastecéis
abastecera	abastecerá
abasteceran	abastecerán
abasteceras	abastecerás
abastecere	abasteceré
abastecereis	abasteceréis
abasteceria	abastecería
abasteceriais	abasteceríais
abasteceriamos	abasteceríamos
abastecerian	abastecerían
abastecerias	abastecerías
abasteci	abastecí
abastecia	abastecía
abasteciais	abastecíais
abasteciamos	abastecíamos
abastecian	abastecían
abastecias	abastecías
abasteciendose	abasteciéndose
abastecieramos	abasteciéramos
abastecieremos	abasteciéremos
abasteciesemos	abasteciésemos
abastecio	abasteció
abasteis	abastéis
abastezcais	abastezcáis
abastionabamos	abastionábamos
abastionais	abastionáis
abastionandose	abastionándose
abastionaramos	abastionáramos
abastionaria	abastionaría
abastionariais	abastionaríais
abastionariamos	abastionaríamos
abastionarian	abastionarían
abastionarias	abastionarías
abastionasemos	abastionásemos
abastioneis	abastionéis
abatais	abatáis
abatanabamos	abatanábamos
abatanais	abatanáis
abatanandose	abatanándose
abatanaramos	abatanáramos
abatanaria	abatanaría
abatanariais	abatanaríais
abatanariamos	abatanaríamos
abatanarian	abatanarían
abatanarias	abatanarías
abatanasemos	abatanásemos
abataneis	abatanéis
abati	abatí
abatia	abatía
abatiais	abatíais
abatiamos	abatíamos
abatian	abatían
abatias	abatías
abatiendose	abatiéndose
abatieramos	abatiéramos
abatieremos	abatiéremos
abatiesemos	abatiésemos
abatio	abatió
abatira	abatirá
abatiran	abatirán
abatiras	abatirás
abatire	abatiré
abatireis	abatiréis
abatiria	abatiría
abatiriais	abatiríais
abatiriamos	abatiríamos
abatirian	abatirían
abatirias	abatirías
abatis	abatís
abatojabamos	abatojábamos
abatojais	abatojáis
abatojandose	abatojándose
abatojaramos	abatojáramos
abatojaria	abatojaría
abatojariais	abatojaríais
abatojariamos	abatojaríamos
abatojarian	abatojarían
abatojarias	abatojarías
abatojasemos	abatojásemos
abatojeis	abatojéis
abazon	abazón
abdicabamos	abdicábamos
abdicacion	abdicación
abdicais	abdicáis
abdicandose	abdicándose
abdicaramos	abdicáramos
abdicaria	abdicaría
abdicariais	abdicaríais
abdicariamos	abdicaríamos
abdicarian	abdicarían
abdicarias	abdicarías
abdicasemos	abdicásemos
abdiqueis	abdiquéis
abdomenes	abdómenes
abduccion	abducción
abduci	abducí
abducia	abducía
abduciais	abducíais
abduciamos	abducíamos
abducian	abducían
abducias	abducías
abduciendose	abduciéndose
abducieramos	abduciéramos
abducieremos	abduciéremos
abduciesemos	abduciésemos
abducio	abdució
abducira	abducirá
abduciran	abducirán
abduciras	abducirás
abducire	abduciré
abducireis	abduciréis
abduciria	abduciría
abduciriais	abduciríais
abduciriamos	abduciríamos
abducirian	abducirían
abducirias	abducirías
abducis	abducís
abduzcais	abduzcáis
abece	abecé
abeces	abecés
abejarron	abejarrón
abejon	abejón
abejorreabamos	abejorreábamos
abejorreais	abejorreáis
abejorreandose	abejorreándose
abejorrearamos	abejorreáramos
abejorrearia	abejorrearía
abejorreariais	abejorrearíais
abejorreariamos	abejorrearíamos
abejorrearian	abejorrearían
abejorrearias	abejorrearías
abejorreasemos	abejorreásemos
abejorreeis	abejorreéis
abeldabamos	abeldábamos
abeldais	abeldáis
abeldandose	abeldándose
abeldaramos	abeldáramos
abeldaria	abeldaría
abeldariais	abeldaríais
abeldariamos	abeldaríamos
abeldarian	abeldarían
abeldarias	abeldarías
abeldasemos	abeldásemos
abelde	abeldé
abeldeis	abeldéis
abeldo	abeldó
abellacabamos	abellacábamos
abellacais	abellacáis
abellacandose	abellacándose
abellacaramos	abellacáramos
abellacaria	abellacaría
abellacariais	abellacaríais
abellacariamos	abellacaríamos
abellacarian	abellacarían
abellacarias	abellacarías
abellacasemos	abellacásemos
abellaqueis	abellaquéis
abemolabamos	abemolábamos
abemolais	abemoláis
abemolandose	abemolándose
abemolaramos	abemoláramos
abemolaria	abemolaría
abemolariais	abemolaríais
abemolariamos	abemolaríamos
abemolarian	abemolarían
abemolarias	abemolarías
abemolasemos	abemolásemos
abemoleis	abemoléis
abense	ábense
abeñula	abéñula
abeñulas	abéñulas
aberracion	aberración
abese	ábese
abichabamos	abichábamos
abichais	abicháis
abichandose	abichándose
abicharamos	abicháramos
abicharia	abicharía
abichariais	abicharíais
abichariamos	abicharíamos
abicharian	abicharían
abicharias	abicharías
abichasemos	abichásemos
abicheis	abichéis
abietacea	abietácea
abietaceas	abietáceas
abietaceo	abietáceo
abietaceos	abietáceos
abietinea	abietínea
abietineas	abietíneas
abietineo	abietíneo
abietineos	abietíneos
abigarrabamos	abigarrábamos
abigarrais	abigarráis
abigarrandose	abigarrándose
abigarraramos	abigarráramos
abigarraria	abigarraría
abigarrariais	abigarraríais
abigarrariamos	abigarraríamos
abigarrarian	abigarrarían
abigarrarias	abigarrarías
abigarrasemos	abigarrásemos
abigarreis	abigarréis
abinabamos	abinábamos
abinais	abináis
abinandose	abinándose
abinaramos	abináramos
abinaria	abinaría
abinariais	abinaríais
abinariamos	abinaríamos
abinarian	abinarían
abinarias	abinarías
abinasemos	abinásemos
abineis	abinéis
abiogenesis	abiogénesis
abiotica	abiótica
abioticas	abióticas
abiotico	abiótico
abioticos	abióticos
abipon	abipón
abisagrabamos	abisagrábamos
abisagrais	abisagráis
abisagrandose	abisagrándose
abisagraramos	abisagráramos
abisagraria	abisagraría
abisagrariais	abisagraríais
abisagrariamos	abisagraríamos
abisagrarian	abisagrarían
abisagrarias	abisagrarías
abisagrasemos	abisagrásemos
abisagreis	abisagréis
abiselabamos	abiselábamos
abiselais	abiseláis
abiselandose	abiselándose
abiselaramos	abiseláramos
abiselaria	abiselaría
abiselariais	abiselaríais
abiselariamos	abiselaríamos
abiselarian	abiselarían
abiselarias	abiselarías
abiselasemos	abiselásemos
abiseleis	abiseléis
abismabamos	abismábamos
abismais	abismáis
abismandome	abismándome
abismandonos	abismándonos
abismandoos	abismándoos
abismandose	abismándose
abismandote	abismándote
abismaramos	abismáramos
